gene	gc
ENSG00000257987.6	47.43
ENSG00000174233.12	56.91
ENSG00000167535.8	58.73
ENSG00000174243.10	51.70
ENSG00000172602.11	52.81
ENSG00000272822.2	51.80
ENSG00000139537.11	45.32
ENSG00000134285.11	51.54
ENSG00000134287.10	52.45
ENSG00000169884.14	58.71
ENSG00000125084.12	63.21
ENSG00000181418.8	61.89
ENSG00000181929.13	48.03
ENSG00000288710.1	47.71
ENSG00000167548.17	57.48
ENSG00000167550.11	54.04
ENSG00000139549.4	55.39
ENSG00000139636.16	54.67
ENSG00000123416.15	53.39
ENSG00000167552.15	47.06
ENSG00000167553.16	49.64
ENSG00000135406.14	63.26
ENSG00000135451.13	57.13
ENSG00000186897.5	66.57
ENSG00000178401.16	49.61
ENSG00000123352.18	47.62
ENSG00000135519.8	64.35
ENSG00000187778.14	57.74
ENSG00000110844.14	56.37
ENSG00000135436.8	52.10
ENSG00000161791.14	51.98
ENSG00000139644.13	46.62
ENSG00000167566.17	60.93
ENSG00000186666.6	46.13
ENSG00000135472.9	57.32
ENSG00000167580.8	55.74
ENSG00000161798.7	62.15
ENSG00000086159.13	57.77
ENSG00000161800.13	45.06
ENSG00000110881.12	57.70
ENSG00000066117.15	51.50
ENSG00000167588.13	56.59
ENSG00000178449.9	57.01
ENSG00000139624.14	47.62
ENSG00000050405.13	41.54
ENSG00000185958.10	47.47
ENSG00000161813.22	37.32
ENSG00000066084.13	43.52
ENSG00000123268.9	39.54
ENSG00000186452.11	37.89
ENSG00000185432.12	44.04
ENSG00000214511.3	39.08
ENSG00000110911.17	44.31
ENSG00000050426.16	46.60
ENSG00000110925.7	49.62
ENSG00000135457.10	45.11
ENSG00000184271.17	53.34
ENSG00000183283.16	47.90
ENSG00000170545.17	53.36
ENSG00000110934.13	48.19
ENSG00000139610.2	53.83
ENSG00000139629.16	54.01
ENSG00000050438.17	45.59
ENSG00000196876.18	46.43
ENSG00000284730.2	73.33
ENSG00000261308.4	64.95
ENSG00000167612.13	58.03
ENSG00000139567.13	58.66
ENSG00000135503.13	51.91
ENSG00000161835.11	62.03
ENSG00000123358.20	60.15
ENSG00000123395.15	56.71
ENSG00000284791.2	58.32
ENSG00000167767.14	57.47
ENSG00000135480.16	57.54
ENSG00000170442.12	61.22
ENSG00000205426.10	62.26
ENSG00000170523.3	61.49
ENSG00000135443.8	58.83
ENSG00000161849.3	58.70
ENSG00000161850.3	56.20
ENSG00000170454.6	58.06
ENSG00000185479.6	56.52
ENSG00000170465.10	53.22
ENSG00000205420.11	54.34
ENSG00000186081.12	52.00
ENSG00000139648.7	58.20
ENSG00000170484.10	54.06
ENSG00000170486.11	57.94
ENSG00000186049.8	56.11
ENSG00000172867.4	53.80
ENSG00000167768.4	52.45
ENSG00000189182.10	53.65
ENSG00000185069.2	56.54
ENSG00000186442.7	59.21
ENSG00000170477.13	53.15
ENSG00000185640.6	58.16
ENSG00000170423.13	55.92
ENSG00000170421.12	55.86
ENSG00000111057.11	55.72
ENSG00000063046.18	45.17
ENSG00000111077.18	61.34
ENSG00000167778.9	56.43
ENSG00000167779.9	63.22
ENSG00000167780.12	57.94
ENSG00000139631.19	52.93
ENSG00000139651.11	51.73
ENSG00000139626.16	57.63
ENSG00000172819.17	59.63
ENSG00000283536.2	61.92
ENSG00000182544.9	56.45
ENSG00000135476.12	55.27
ENSG00000123349.15	47.47
ENSG00000139637.14	55.44
ENSG00000094914.14	53.65
ENSG00000170374.6	56.08
ENSG00000185591.10	44.77
ENSG00000135409.11	56.10
ENSG00000205352.11	50.74
ENSG00000197111.16	45.69
ENSG00000139625.13	52.42
ENSG00000139546.11	56.89
ENSG00000139574.9	55.82
ENSG00000267281.3	53.88
ENSG00000170653.19	47.36
ENSG00000135390.21	50.41
ENSG00000012822.16	51.70
ENSG00000123364.5	57.45
ENSG00000123407.4	59.00
ENSG00000123388.4	52.89
ENSG00000180818.5	54.28
ENSG00000273049.1	62.55
ENSG00000197757.8	52.31
ENSG00000180806.5	55.58
ENSG00000037965.6	49.65
ENSG00000198353.8	51.43
ENSG00000172789.4	59.16
ENSG00000123415.16	52.48
ENSG00000094916.16	41.24
ENSG00000135486.19	42.39
ENSG00000123405.14	54.97
ENSG00000111481.10	48.51
ENSG00000139572.4	50.76
ENSG00000161642.18	62.72
ENSG00000161638.11	55.55
ENSG00000170627.11	40.29
ENSG00000123338.13	45.94
ENSG00000123360.12	52.83
ENSG00000135447.17	54.92
ENSG00000135413.9	48.41
ENSG00000161634.12	48.97
ENSG00000172551.11	36.24
ENSG00000135426.16	45.42
ENSG00000123307.4	40.23
ENSG00000170605.7	36.51
ENSG00000179919.3	44.27
ENSG00000197706.4	40.26
ENSG00000188324.4	40.17
ENSG00000205330.4	33.48
ENSG00000205329.3	37.78
ENSG00000187857.5	36.00
ENSG00000205328.3	37.49
ENSG00000185821.3	40.15
ENSG00000179695.3	37.12
ENSG00000184954.4	36.85
ENSG00000205327.3	36.53
ENSG00000179626.4	36.23
ENSG00000179615.3	41.28
ENSG00000175398.3	58.39
ENSG00000170439.7	55.24
ENSG00000135424.18	58.68
ENSG00000258311.5	53.36
ENSG00000135441.7	58.51
ENSG00000135437.10	52.77
ENSG00000135404.12	57.80
ENSG00000135414.10	48.48
ENSG00000205323.9	41.55
ENSG00000257390.5	49.84
ENSG00000123353.10	46.95
ENSG00000135392.19	53.20
ENSG00000123342.16	51.69
ENSG00000170473.17	50.62
ENSG00000065357.20	52.11
ENSG00000185664.15	51.62
ENSG00000123374.11	49.55
ENSG00000111540.16	46.34
ENSG00000139531.13	52.30
ENSG00000123411.15	50.34
ENSG00000197728.11	45.45
ENSG00000065361.17	50.24
ENSG00000257411.2	45.81
ENSG00000170515.14	47.23
ENSG00000229117.9	47.20
ENSG00000139641.13	54.61
ENSG00000135482.7	48.83
ENSG00000196465.10	55.97
ENSG00000092841.19	51.76
ENSG00000139613.12	50.15
ENSG00000181852.18	47.27
ENSG00000139579.13	54.75
ENSG00000139540.12	60.01
ENSG00000139645.11	55.70
ENSG00000135469.14	49.49
ENSG00000062485.19	47.23
ENSG00000144785.8	56.79
ENSG00000257727.6	48.29
ENSG00000135473.15	50.23
ENSG00000110944.9	50.68
ENSG00000170581.14	51.19
ENSG00000175336.10	48.86
ENSG00000111602.12	51.44
ENSG00000135517.9	49.17
ENSG00000285528.1	50.27
ENSG00000176422.14	48.09
ENSG00000135423.13	51.53
ENSG00000076067.13	46.99
ENSG00000076108.12	51.68
ENSG00000110955.9	47.77
ENSG00000110958.16	45.90
ENSG00000196531.14	50.55
ENSG00000285625.1	46.43
ENSG00000198056.15	42.38
ENSG00000025423.11	47.71
ENSG00000170426.2	50.70
ENSG00000139547.8	52.51
ENSG00000166856.3	54.47
ENSG00000166860.3	49.90
ENSG00000166863.13	51.30
ENSG00000166866.13	52.40
ENSG00000166881.10	41.41
ENSG00000166886.13	61.20
ENSG00000166888.12	55.45
ENSG00000123384.14	58.58
ENSG00000182379.10	65.23
ENSG00000182199.11	56.79
ENSG00000185633.10	62.58
ENSG00000185482.8	54.95
ENSG00000258830.1	56.48
ENSG00000179912.20	50.23
ENSG00000175189.4	52.15
ENSG00000139269.3	54.27
ENSG00000111087.10	58.73
ENSG00000123329.20	56.70
ENSG00000166986.15	51.11
ENSG00000175197.13	48.74
ENSG00000285133.1	47.62
ENSG00000166987.15	60.53
ENSG00000175203.17	49.10
ENSG00000155980.13	50.43
ENSG00000166908.18	49.59
ENSG00000178498.16	57.38
ENSG00000240771.8	59.36
ENSG00000287908.1	59.29
ENSG00000135454.14	56.99
ENSG00000135506.16	52.25
ENSG00000135439.12	62.74
ENSG00000135452.10	48.73
ENSG00000135446.17	52.62
ENSG00000139266.6	55.84
ENSG00000111012.10	56.67
ENSG00000037897.17	53.52
ENSG00000123427.17	50.32
ENSG00000257921.6	47.22
ENSG00000123297.20	46.48
ENSG00000135407.10	47.31
ENSG00000175215.11	53.70
ENSG00000166896.9	47.28
ENSG00000139263.12	44.73
ENSG00000118596.12	34.82
ENSG00000198673.11	42.23
ENSG00000135655.16	36.04
ENSG00000061987.16	36.32
ENSG00000111110.12	49.27
ENSG00000166148.4	41.06
ENSG00000177990.12	38.07
ENSG00000118600.12	41.31
ENSG00000196935.9	41.70
ENSG00000174206.13	43.02
ENSG00000185306.13	43.43
ENSG00000184575.12	40.59
ENSG00000183735.11	38.00
ENSG00000153179.13	45.01
ENSG00000135677.11	44.35
ENSG00000111490.15	48.49
ENSG00000288591.1	43.25
ENSG00000156076.10	43.28
ENSG00000174106.3	42.08
ENSG00000174099.12	44.60
ENSG00000149948.14	39.40
ENSG00000139233.7	38.58
ENSG00000228144.2	42.78
ENSG00000155957.18	38.77
ENSG00000090376.11	39.77
ENSG00000127311.10	40.54
ENSG00000155974.13	44.44
ENSG00000111530.13	39.62
ENSG00000127334.11	41.03
ENSG00000111537.5	35.76
ENSG00000111536.5	35.55
ENSG00000127318.11	40.92
ENSG00000111554.15	38.15
ENSG00000127314.18	38.18
ENSG00000111581.10	38.95
ENSG00000175782.11	44.01
ENSG00000135679.26	39.54
ENSG00000135678.12	42.42
ENSG00000111605.18	37.54
ENSG00000090382.7	39.91
ENSG00000127337.7	41.77
ENSG00000166225.9	37.40
ENSG00000166226.13	42.03
ENSG00000198812.5	50.09
ENSG00000127325.19	43.90
ENSG00000127328.22	40.66
ENSG00000258052.1	40.69
ENSG00000166268.11	44.10
ENSG00000111596.14	37.01
ENSG00000135643.5	45.95
ENSG00000127329.16	42.20
ENSG00000153233.13	43.70
ENSG00000127324.9	39.52
ENSG00000139292.13	43.16
ENSG00000133858.17	38.76
ENSG00000173451.7	33.17
ENSG00000258064.1	44.62
ENSG00000139291.14	42.53
ENSG00000080371.6	36.91
ENSG00000121749.16	36.40
ENSG00000139287.13	41.17
ENSG00000072657.10	36.58
ENSG00000253719.4	38.67
ENSG00000166006.14	43.91
ENSG00000180881.19	38.03
ENSG00000173401.10	38.51
ENSG00000180481.11	35.56
ENSG00000139278.10	36.01
ENSG00000111615.14	35.50
ENSG00000139289.14	42.96
ENSG00000187109.15	37.84
ENSG00000179941.9	36.01
ENSG00000091039.17	34.72
ENSG00000186908.15	36.62
ENSG00000175183.10	40.23
ENSG00000165891.16	42.74
ENSG00000067798.16	45.02
ENSG00000067715.14	41.27
ENSG00000177425.11	37.54
ENSG00000058272.19	36.67
ENSG00000165899.12	37.71
ENSG00000139304.16	36.36
ENSG00000111046.4	48.53
ENSG00000111049.4	45.26
ENSG00000111052.8	36.58
ENSG00000111058.8	38.45
ENSG00000139220.17	42.14
ENSG00000133773.12	36.44
ENSG00000127720.8	39.38
ENSG00000179104.9	41.15
ENSG00000072041.18	35.59
ENSG00000231738.11	34.66
ENSG00000133640.20	34.24
ENSG00000180318.4	45.05
ENSG00000198774.5	35.36
ENSG00000133636.11	33.38
ENSG00000182050.13	32.46
ENSG00000165805.10	38.58
ENSG00000133641.18	36.98
ENSG00000198707.17	34.28
ENSG00000139324.12	33.56
ENSG00000049130.16	38.50
ENSG00000139318.8	47.01
ENSG00000139323.14	39.32
ENSG00000259075.6	40.04
ENSG00000257594.4	39.46
ENSG00000070961.16	37.69
ENSG00000197651.4	47.81
ENSG00000083782.8	36.63
ENSG00000139330.6	35.41
ENSG00000139329.5	34.89
ENSG00000011465.18	36.69
ENSG00000133639.6	39.67
ENSG00000187510.11	41.07
ENSG00000102189.17	35.18
ENSG00000173598.14	41.69
ENSG00000177889.10	39.00
ENSG00000198015.14	38.42
ENSG00000120833.14	50.07
ENSG00000169372.13	49.79
ENSG00000136040.9	46.88
ENSG00000173588.15	38.51
ENSG00000057704.13	45.32
ENSG00000184752.14	41.13
ENSG00000120798.17	37.91
ENSG00000180263.14	40.31
ENSG00000028203.18	38.57
ENSG00000111142.14	41.13
ENSG00000136014.12	41.36
ENSG00000074527.13	47.47
ENSG00000139343.10	34.90
ENSG00000165972.13	38.93
ENSG00000139344.8	47.96
ENSG00000084110.11	46.56
ENSG00000111144.10	40.80
ENSG00000111145.8	43.41
ENSG00000059758.8	39.03
ENSG00000188596.11	38.79
ENSG00000139350.12	36.39
ENSG00000120802.14	38.77
ENSG00000075415.15	43.20
ENSG00000166130.15	39.37
ENSG00000120868.14	41.55
ENSG00000185046.19	43.97
ENSG00000180219.2	49.03
ENSG00000111647.13	37.99
ENSG00000075089.10	42.43
ENSG00000166153.17	40.22
ENSG00000136021.19	36.66
ENSG00000179520.11	40.88
ENSG00000012504.15	40.52
ENSG00000139354.11	38.41
ENSG00000151572.18	44.67
ENSG00000256870.3	43.68
ENSG00000120800.5	41.69
ENSG00000120805.14	40.79
ENSG00000166211.8	36.40
ENSG00000196091.15	43.03
ENSG00000111666.11	39.44
ENSG00000139351.15	37.06
ENSG00000111670.16	41.67
ENSG00000136048.14	44.29
ENSG00000120860.11	38.47
ENSG00000075188.9	38.33
ENSG00000185480.12	37.22
ENSG00000183395.5	35.15
ENSG00000017427.17	37.04
ENSG00000171759.10	42.60
ENSG00000139352.4	52.04
ENSG00000179088.15	43.69
ENSG00000136011.15	50.47
ENSG00000111696.12	46.14
ENSG00000166598.16	40.51
ENSG00000204954.10	43.99
ENSG00000139372.15	39.75
ENSG00000120820.13	45.56
ENSG00000111727.12	37.66
ENSG00000120837.8	41.62
ENSG00000198431.16	46.33
ENSG00000255150.2	44.72
ENSG00000171310.11	47.95
ENSG00000136052.10	37.57
ENSG00000151131.11	41.11
ENSG00000136010.14	41.42
ENSG00000136051.15	35.25
ENSG00000136044.12	45.44
ENSG00000235162.9	41.70
ENSG00000074590.14	50.19
ENSG00000136026.14	55.67
ENSG00000166046.11	43.49
ENSG00000013503.10	44.15
ENSG00000111783.13	47.31
ENSG00000111785.21	40.89
ENSG00000151135.10	40.56
ENSG00000120832.10	43.40
ENSG00000008405.12	41.61
ENSG00000151136.15	53.30
ENSG00000136045.12	42.65
ENSG00000110851.12	49.33
ENSG00000187855.6	52.91
ENSG00000075035.10	54.11
ENSG00000174600.14	50.53
ENSG00000198855.7	50.85
ENSG00000075856.12	47.30
ENSG00000136003.16	46.89
ENSG00000183160.9	59.01
ENSG00000110876.10	58.41
ENSG00000110880.11	45.47
ENSG00000084112.15	49.81
ENSG00000110887.8	52.41
ENSG00000166111.10	50.17
ENSG00000135093.13	46.91
ENSG00000189046.11	51.53
ENSG00000076248.11	51.93
ENSG00000076555.15	51.58
ENSG00000139445.18	58.46
ENSG00000174527.10	45.99
ENSG00000110906.13	47.62
ENSG00000151148.14	48.46
ENSG00000139428.12	51.93
ENSG00000110921.14	58.57
ENSG00000139438.6	66.16
ENSG00000111199.12	60.78
ENSG00000139433.11	50.58
ENSG00000139437.18	49.54
ENSG00000139436.21	44.76
ENSG00000076513.17	46.07
ENSG00000174456.15	46.04
ENSG00000122970.16	41.39
ENSG00000174437.18	46.69
ENSG00000196510.14	45.60
ENSG00000111229.16	38.19
ENSG00000111231.9	48.21
ENSG00000204856.12	46.19
ENSG00000111237.19	36.78
ENSG00000151164.19	40.25
ENSG00000196850.6	41.79
ENSG00000204852.17	44.99
ENSG00000122986.14	50.96
ENSG00000186298.12	41.14
ENSG00000173093.13	53.34
ENSG00000111245.17	50.74
ENSG00000111249.14	56.11
ENSG00000198324.14	63.88
ENSG00000111252.11	55.37
ENSG00000204842.18	46.33
ENSG00000089234.16	44.93
ENSG00000111271.15	51.53
ENSG00000257767.3	57.53
ENSG00000111275.13	47.77
ENSG00000089022.14	44.75
ENSG00000198270.13	45.42
ENSG00000089248.7	48.70
ENSG00000111300.10	38.24
ENSG00000135148.12	52.23
ENSG00000173064.14	52.19
ENSG00000089009.16	43.81
ENSG00000179295.18	43.73
ENSG00000089169.15	49.81
ENSG00000089127.15	42.63
ENSG00000111331.14	48.55
ENSG00000111335.14	46.38
ENSG00000135144.7	64.39
ENSG00000111344.11	59.30
ENSG00000186710.12	64.03
ENSG00000123064.13	59.78
ENSG00000139405.16	58.81
ENSG00000166578.10	52.68
ENSG00000186815.13	56.70
ENSG00000089060.12	55.35
ENSG00000151176.8	55.00
ENSG00000135094.11	56.77
ENSG00000139410.15	60.35
ENSG00000089116.4	61.25
ENSG00000122965.11	55.63
ENSG00000089225.20	49.65
ENSG00000135111.16	50.45
ENSG00000123066.9	40.73
ENSG00000258102.5	48.36
ENSG00000111412.6	47.72
ENSG00000135119.15	53.06
ENSG00000135116.9	49.89
ENSG00000174989.13	50.91
ENSG00000088992.18	61.84
ENSG00000135108.15	46.04
ENSG00000089250.19	52.09
ENSG00000171435.14	50.47
ENSG00000111445.14	45.28
ENSG00000176871.9	46.81
ENSG00000176834.14	48.15
ENSG00000089220.5	51.98
ENSG00000135090.14	42.16
ENSG00000111707.12	43.83
ENSG00000139767.10	50.07
ENSG00000152137.8	49.23
ENSG00000183273.7	49.32
ENSG00000224982.4	44.12
ENSG00000111725.11	50.41
ENSG00000122966.17	46.32
ENSG00000135127.11	54.74
ENSG00000111737.12	60.80
ENSG00000089154.11	56.19
ENSG00000089157.16	49.30
ENSG00000089159.17	59.12
ENSG00000089163.4	51.06
ENSG00000170890.14	52.40
ENSG00000135097.7	59.60
ENSG00000111775.3	45.41
ENSG00000111780.8	58.33
ENSG00000170855.4	45.29
ENSG00000257218.6	45.36
ENSG00000111786.9	44.44
ENSG00000088986.11	53.39
ENSG00000110871.15	47.94
ENSG00000022840.17	50.49
ENSG00000288623.1	73.95
ENSG00000167272.11	49.38
ENSG00000157782.9	57.85
ENSG00000110917.8	49.36
ENSG00000175970.11	51.97
ENSG00000122971.9	64.66
ENSG00000157837.16	48.19
ENSG00000135100.19	60.62
ENSG00000157895.11	53.79
ENSG00000135114.13	50.12
ENSG00000089041.17	47.76
ENSG00000135124.15	51.18
ENSG00000110931.19	53.79
ENSG00000089053.13	44.07
ENSG00000170633.16	44.88
ENSG00000089094.19	55.96
ENSG00000276045.3	62.51
ENSG00000139714.12	51.56
ENSG00000188735.13	56.81
ENSG00000139725.8	58.28
ENSG00000139718.11	61.41
ENSG00000158104.11	57.58
ENSG00000110801.14	49.29
ENSG00000256950.2	47.62
ENSG00000158023.10	43.51
ENSG00000110987.9	53.69
ENSG00000175727.14	55.79
ENSG00000158113.13	56.34
ENSG00000204671.2	46.49
ENSG00000176383.9	56.04
ENSG00000284934.2	55.85
ENSG00000184047.20	49.34
ENSG00000256861.1	48.47
ENSG00000139719.11	46.69
ENSG00000130779.22	43.27
ENSG00000033030.15	41.57
ENSG00000111011.18	39.21
ENSG00000184445.12	40.84
ENSG00000182782.8	51.53
ENSG00000255398.3	51.07
ENSG00000196917.6	48.94
ENSG00000139726.11	39.65
ENSG00000130783.14	41.10
ENSG00000130787.14	60.14
ENSG00000139722.7	55.06
ENSG00000150967.18	58.44
ENSG00000111325.16	59.44
ENSG00000182196.14	65.62
ENSG00000090975.14	60.74
ENSG00000051825.15	40.01
ENSG00000130921.9	49.78
ENSG00000111328.7	52.78
ENSG00000139697.14	41.88
ENSG00000183955.13	55.53
ENSG00000150977.11	53.20
ENSG00000184209.15	49.56
ENSG00000188026.13	50.40
ENSG00000086598.11	40.96
ENSG00000111364.16	47.22
ENSG00000111361.13	44.83
ENSG00000111358.14	39.93
ENSG00000168778.13	45.13
ENSG00000185344.15	44.51
ENSG00000197653.16	48.97
ENSG00000119242.9	53.02
ENSG00000179195.16	47.82
ENSG00000178882.15	63.94
ENSG00000196498.13	63.51
ENSG00000073060.17	52.78
ENSG00000150991.15	55.62
ENSG00000150990.9	60.29
ENSG00000184992.13	46.22
ENSG00000081760.17	52.07
ENSG00000139364.11	44.61
ENSG00000181234.10	55.45
ENSG00000139370.12	46.31
ENSG00000151948.12	51.84
ENSG00000151952.16	54.96
ENSG00000111432.5	58.38
ENSG00000125207.7	43.58
ENSG00000060709.15	52.40
ENSG00000111450.14	43.41
ENSG00000132341.12	44.65
ENSG00000111452.13	50.97
ENSG00000061936.10	48.05
ENSG00000198598.7	66.23
ENSG00000177169.10	63.65
ENSG00000177192.14	57.27
ENSG00000183495.14	54.10
ENSG00000185163.10	59.08
ENSG00000184967.7	63.86
ENSG00000182870.13	63.32
ENSG00000112787.14	69.06
ENSG00000204583.10	64.28
ENSG00000187848.15	62.53
ENSG00000177084.18	53.63
ENSG00000176894.10	57.07
ENSG00000247077.7	56.22
ENSG00000176915.15	49.77
ENSG00000090615.15	54.38
ENSG00000072609.18	54.98
ENSG00000196458.11	42.58
ENSG00000198393.8	41.71
ENSG00000198040.11	40.16
ENSG00000196387.10	41.19
ENSG00000214029.6	38.88
ENSG00000256223.6	39.99
ENSG00000256825.4	47.16
ENSG00000090612.22	41.94
ENSG00000227059.7	60.23
ENSG00000198033.12	58.05
ENSG00000132958.17	38.70
ENSG00000196199.14	44.02
ENSG00000121390.19	43.20
ENSG00000132950.19	37.68
ENSG00000121741.17	36.10
ENSG00000121743.4	46.51
ENSG00000165474.8	45.03
ENSG00000121742.19	46.42
ENSG00000165475.15	49.06
ENSG00000032742.18	38.01
ENSG00000172458.5	56.04
ENSG00000150456.11	46.42
ENSG00000132953.17	38.63
ENSG00000150457.9	51.95
ENSG00000150459.12	41.61
ENSG00000165480.16	40.96
ENSG00000173141.5	48.32
ENSG00000180776.16	38.20
ENSG00000165487.14	38.95
ENSG00000102678.7	41.22
ENSG00000102683.8	45.17
ENSG00000151835.17	39.37
ENSG00000127863.16	44.12
ENSG00000027001.10	46.99
ENSG00000205863.11	49.59
ENSG00000273167.1	58.07
ENSG00000182957.16	50.69
ENSG00000240654.6	46.38
ENSG00000102699.6	44.58
ENSG00000075673.12	51.90
ENSG00000132972.19	38.15
ENSG00000151849.16	40.97
ENSG00000151846.9	39.47
ENSG00000165566.13	43.36
ENSG00000139505.12	36.49
ENSG00000139496.16	36.47
ENSG00000132932.19	43.49
ENSG00000180730.5	53.42
ENSG00000127870.17	41.09
ENSG00000132964.12	43.50
ENSG00000132970.14	45.89
ENSG00000132975.8	43.35
ENSG00000152484.14	36.99
ENSG00000122026.11	45.36
ENSG00000122035.7	46.44
ENSG00000122034.17	49.18
ENSG00000122033.15	45.54
ENSG00000139517.9	41.66
ENSG00000186184.19	45.22
ENSG00000169840.5	64.73
ENSG00000139515.6	59.01
ENSG00000165556.10	59.74
ENSG00000183463.6	62.15
ENSG00000122025.15	43.14
ENSG00000152520.14	41.33
ENSG00000102755.12	42.37
ENSG00000132963.8	34.34
ENSG00000139508.15	42.74
ENSG00000132938.22	51.88
ENSG00000139514.13	53.07
ENSG00000122042.10	40.31
ENSG00000102781.14	39.01
ENSG00000236444.5	41.68
ENSG00000189403.15	40.42
ENSG00000132952.12	43.41
ENSG00000132965.10	49.52
ENSG00000102802.10	49.83
ENSG00000175664.10	38.65
ENSG00000120694.20	38.09
ENSG00000187676.8	40.34
ENSG00000133105.8	39.39
ENSG00000073910.23	45.40
ENSG00000189167.12	53.09
ENSG00000139618.17	36.88
ENSG00000139597.18	41.62
ENSG00000244754.9	36.09
ENSG00000083642.19	34.19
ENSG00000133116.8	45.60
ENSG00000133121.21	46.72
ENSG00000133119.13	39.08
ENSG00000172915.19	43.20
ENSG00000180660.8	43.95
ENSG00000133083.15	39.37
ENSG00000120669.16	42.88
ENSG00000250709.1	44.03
ENSG00000242715.8	37.23
ENSG00000133104.14	40.07
ENSG00000133101.10	53.58
ENSG00000180440.4	39.88
ENSG00000133111.4	44.28
ENSG00000120693.14	43.42
ENSG00000120697.10	40.13
ENSG00000120699.13	41.16
ENSG00000102710.20	37.27
ENSG00000180138.7	44.64
ENSG00000133110.15	35.74
ENSG00000133107.15	36.70
ENSG00000120686.12	34.73
ENSG00000150893.11	44.63
ENSG00000133115.12	44.79
ENSG00000120685.20	42.64
ENSG00000188811.14	38.90
ENSG00000183722.9	49.36
ENSG00000133103.17	35.74
ENSG00000150907.10	46.60
ENSG00000102738.8	39.57
ENSG00000102743.15	47.99
ENSG00000120690.16	42.02
ENSG00000120688.9	37.52
ENSG00000165572.8	43.14
ENSG00000120696.9	42.19
ENSG00000120662.16	39.34
ENSG00000172766.19	38.28
ENSG00000102760.13	53.88
ENSG00000102763.18	42.63
ENSG00000102780.17	38.51
ENSG00000023516.9	37.30
ENSG00000120659.15	44.04
ENSG00000179813.7	39.51
ENSG00000133106.15	42.49
ENSG00000120675.6	38.56
ENSG00000120658.13	47.82
ENSG00000151773.13	37.61
ENSG00000179630.11	40.17
ENSG00000281883.1	44.14
ENSG00000139656.7	47.41
ENSG00000151778.11	50.28
ENSG00000102804.15	47.09
ENSG00000083635.8	38.68
ENSG00000133114.18	39.89
ENSG00000188342.12	38.00
ENSG00000180332.7	39.08
ENSG00000133112.17	44.26
ENSG00000174032.17	41.86
ENSG00000136152.15	41.97
ENSG00000165837.12	45.53
ENSG00000174015.10	57.56
ENSG00000215475.5	46.50
ENSG00000123200.17	40.27
ENSG00000080618.17	38.29
ENSG00000136167.15	45.23
ENSG00000173988.13	34.70
ENSG00000102445.20	46.26
ENSG00000136141.15	43.14
ENSG00000139684.15	37.14
ENSG00000102468.11	38.40
ENSG00000136143.16	40.40
ENSG00000136159.4	40.87
ENSG00000136146.15	38.26
ENSG00000136156.15	39.75
ENSG00000139687.16	36.93
ENSG00000139679.16	39.52
ENSG00000136161.13	45.52
ENSG00000152207.8	40.77
ENSG00000102531.16	39.70
ENSG00000102539.5	66.83
ENSG00000102543.14	41.78
ENSG00000102547.19	41.73
ENSG00000136169.16	40.85
ENSG00000136147.18	42.87
ENSG00000136144.12	42.34
ENSG00000152213.4	46.90
ENSG00000123179.14	48.65
ENSG00000102753.10	38.63
ENSG00000123178.15	41.24
ENSG00000204977.10	41.11
ENSG00000198553.9	42.28
ENSG00000186047.11	44.98
ENSG00000136104.21	40.38
ENSG00000226792.7	47.00
ENSG00000150510.17	48.76
ENSG00000253309.7	48.39
ENSG00000102786.15	37.39
ENSG00000139668.9	42.90
ENSG00000285444.1	46.84
ENSG00000102796.12	53.58
ENSG00000281106.4	48.06
ENSG00000123171.8	53.27
ENSG00000123191.16	46.68
ENSG00000253710.5	42.27
ENSG00000253797.2	41.76
ENSG00000197168.13	40.20
ENSG00000136098.17	44.52
ENSG00000136114.17	52.47
ENSG00000136100.14	39.18
ENSG00000136108.15	36.44
ENSG00000139675.13	45.50
ENSG00000165416.15	37.50
ENSG00000136110.13	50.61
ENSG00000136099.13	57.15
ENSG00000102837.7	42.31
ENSG00000204919.1	53.33
ENSG00000229665.8	54.10
ENSG00000204918.3	53.33
ENSG00000227151.4	53.33
ENSG00000234278.3	53.33
ENSG00000118946.12	46.51
ENSG00000139734.19	38.45
ENSG00000083544.16	38.80
ENSG00000280165.1	43.24
ENSG00000197991.11	39.94
ENSG00000237378.3	38.25
ENSG00000285566.1	42.10
ENSG00000184226.15	34.45
ENSG00000150361.12	45.84
ENSG00000276644.5	43.99
ENSG00000204899.6	31.02
ENSG00000136122.18	42.11
ENSG00000083520.15	39.61
ENSG00000083535.16	34.75
ENSG00000102554.14	44.63
ENSG00000118922.18	39.16
ENSG00000136111.14	45.98
ENSG00000188243.14	41.70
ENSG00000118939.18	39.74
ENSG00000136153.20	40.45
ENSG00000178695.6	43.65
ENSG00000102794.10	47.38
ENSG00000102805.16	39.61
ENSG00000283208.2	39.24
ENSG00000005812.11	38.89
ENSG00000005810.19	43.45
ENSG00000288716.1	66.67
ENSG00000136155.17	36.72
ENSG00000139737.22	46.98
ENSG00000136160.17	40.87
ENSG00000152192.8	50.78
ENSG00000152193.8	37.95
ENSG00000139746.16	37.85
ENSG00000102471.14	35.54
ENSG00000136158.12	50.33
ENSG00000178235.8	47.44
ENSG00000184564.11	36.84
ENSG00000165300.8	35.07
ENSG00000179399.15	44.62
ENSG00000183098.11	40.80
ENSG00000080166.16	39.83
ENSG00000088451.11	37.42
